2026/07/16 15:14:41.625, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:55.764, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:56.041, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:56.318, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:56.594, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:56.871, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:57.148, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:57.426, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:57.703, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:57.980, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:58.257, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:58.534, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:58.811, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:59.088, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:59.366, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:59.643, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:59.920, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:00.198, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:00.476, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:00.752, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:01.030, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:01.307, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:01.585, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:01.863, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:02.139, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:02.416, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:02.693, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:02.970, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:03.247, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:03.523, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:03.799, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:04.076, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:04.353, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:04.629, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:04.906, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:05.183, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:05.459, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:05.736, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:06.014, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:06.290, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:06.567, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:06.844, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:07.121, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:07.397, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:07.674, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:07.950, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:08.228, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:08.505, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:08.784, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:09.061, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:09.339, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:09.616, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:09.893, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:10.170, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:10.447, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:10.723, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:10.999, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:11.277, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:11.555, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:11.831, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:12.108, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:12.384, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:12.660, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:12.937, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:13.214, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:13.491, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:13.768, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:14.045, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:14.322, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:14.599, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:14.876, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:15.153, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:15.431, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:15.708, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:15.985, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:16.262, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:16.539, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:16.816, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:17.093, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:17.370, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:17.646, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:17.923, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:18.199, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:18.475, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:18.752, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:19.028, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:19.305, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:19.581, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:19.859, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:20.136, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:20.413, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:20.690, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:20.967, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:21.244, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:21.520, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:21.797, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:22.074, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:22.350, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:22.627, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:22.903, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:23.181, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:23.458, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:23.735, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:24.011, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:24.289, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:24.565, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:24.841, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:25.118, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:25.395, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:25.671, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:25.948, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:26.225, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:26.501, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:26.780, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:27.057, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:27.334, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:27.611, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:27.888, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:28.166, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:28.443, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:28.720, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:28.997, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:29.276, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:29.553, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:29.830, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:30.109, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:30.387, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:30.664, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:30.941, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:31.218, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:31.496, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:31.774, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:32.051, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:32.329, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:32.606, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:32.883, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:33.160, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:33.437, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:33.713, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:33.990, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:34.267, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:34.545, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:34.823, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:35.101, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:35.379, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:35.656, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:35.934, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:36.211, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:36.489, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:36.766, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:37.044, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:37.321, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:37.598, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:37.876, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:38.154, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:38.431, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:38.708, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:38.986, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:39.263, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:39.541, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:39.818, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:40.096, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:40.372, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:40.649, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:40.927, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:41.204, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:41.481, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:15:41.762, NVIDIA GeForce RTX 3090, 544 MiB, 24576 MiB, 10 %
2026/07/16 15:15:42.037, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:42.310, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:42.581, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:42.853, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:43.126, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:43.398, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:43.670, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:43.942, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:44.215, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:44.488, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:44.759, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:45.031, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:45.304, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:45.576, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:45.848, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:46.121, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:46.394, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:46.666, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:46.940, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:47.214, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:47.486, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:47.758, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:48.030, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:48.302, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:48.574, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:48.845, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:49.117, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:49.389, NVIDIA GeForce RTX 3090, 642 MiB, 24576 MiB, 0 %
2026/07/16 15:15:49.663, NVIDIA GeForce RTX 3090, 644 MiB, 24576 MiB, 1 %
2026/07/16 15:15:49.936, NVIDIA GeForce RTX 3090, 758 MiB, 24576 MiB, 24 %
2026/07/16 15:15:50.210, NVIDIA GeForce RTX 3090, 928 MiB, 24576 MiB, 9 %
2026/07/16 15:15:50.483, NVIDIA GeForce RTX 3090, 1048 MiB, 24576 MiB, 0 %
2026/07/16 15:15:50.758, NVIDIA GeForce RTX 3090, 1764 MiB, 24576 MiB, 39 %
2026/07/16 15:15:51.031, NVIDIA GeForce RTX 3090, 1768 MiB, 24576 MiB, 3 %
2026/07/16 15:15:51.304, NVIDIA GeForce RTX 3090, 1772 MiB, 24576 MiB, 100 %
2026/07/16 15:15:51.578, NVIDIA GeForce RTX 3090, 1772 MiB, 24576 MiB, 92 %
2026/07/16 15:15:51.853, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 84 %
2026/07/16 15:15:52.126, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:52.399, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:52.672, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:52.945, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:53.217, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:53.490, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:53.761, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:54.033, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:54.306, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:54.578, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:54.850, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 0 %
2026/07/16 15:15:55.124, NVIDIA GeForce RTX 3090, 1774 MiB, 24576 MiB, 71 %
